,State,County,City,Median Sale Price,Date,Month,Year,lat,lng
27344,California,"San Jose, CA",San Jose,895000.0,6/1/2017,6,2017,37.3382082,-121.8863286
27364,California,"Oakland, CA",Oakland,683000.0,8/1/2017,8,2017,37.8043637,-122.2711137
27418,California,"Fremont, CA",Fremont,947000.0,11/1/2017,11,2017,37.5482697,-121.9885719
27833,California,"Oakland, CA",Oakland,757000.0,10/1/2018,10,2018,37.8043637,-122.2711137
27866,California,"Oakland, CA",Oakland,730000.0,2/1/2019,2,2019,37.8043637,-122.2711137
27949,California,"Fremont, CA",Fremont,765000.0,4/1/2015,4,2015,37.5482697,-121.9885719
27950,California,"Hayward, CA",Hayward,448000.0,4/1/2015,4,2015,37.6688205,-122.0807964
27964,California,"San Jose, CA",San Jose,770000.0,4/1/2015,4,2015,37.3382082,-121.8863286
27976,California,"San Jose, CA",San Jose,761000.0,5/1/2015,5,2015,37.3382082,-121.8863286
27997,California,"Hayward, CA",Hayward,505000.0,6/1/2015,6,2015,37.6688205,-122.0807964
28107,California,"San Jose, CA",San Jose,756000.0,10/1/2015,10,2015,37.3382082,-121.8863286
28207,California,"Santa Clara, CA",Santa Clara,1012000.0,2/1/2016,2,2016,37.3541079,-121.9552356
28407,California,"Fremont, CA",Fremont,870000.0,11/1/2016,11,2016,37.5482697,-121.9885719
28486,California,"Fremont, CA",Fremont,870000.0,2/1/2017,2,2017,37.5482697,-121.9885719
28556,California,"Fremont, CA",Fremont,911000.0,5/1/2017,5,2017,37.5482697,-121.9885719
28571,California,"San Jose, CA",San Jose,865000.0,5/1/2017,5,2017,37.3382082,-121.8863286
28647,California,"San Jose, CA",San Jose,870000.0,8/1/2017,8,2017,37.3382082,-121.8863286
29019,California,"San Jose, CA",San Jose,978000.0,11/1/2018,11,2018,37.3382082,-121.8863286
29028,California,"Fremont, CA",Fremont,942000.0,12/1/2018,12,2018,37.5482697,-121.9885719
29117,California,"San Jose, CA",San Jose,682000.0,10/1/2014,10,2014,37.3382082,-121.8863286
29198,California,"Hayward, CA",Hayward,442000.0,2/1/2015,2,2015,37.6688205,-122.0807964
29226,California,"Fremont, CA",Fremont,786000.0,3/1/2015,3,2015,37.5482697,-121.9885719
29558,California,"Hayward, CA",Hayward,555000.0,5/1/2016,5,2016,37.6688205,-122.0807964
29588,California,"San Jose, CA",San Jose,835000.0,6/1/2016,6,2016,37.3382082,-121.8863286
29653,California,"Hayward, CA",Hayward,525000.0,9/1/2016,9,2016,37.6688205,-122.0807964
29733,California,"Fremont, CA",Fremont,816000.0,12/1/2016,12,2016,37.5482697,-121.9885719
29779,California,"San Jose, CA",San Jose,763000.0,1/1/2017,1,2017,37.3382082,-121.8863286
29930,California,"Fremont, CA",Fremont,930000.0,8/1/2017,8,2017,37.5482697,-121.9885719
29983,California,"Fremont, CA",Fremont,1015000.0,10/1/2017,10,2017,37.5482697,-121.9885719
30060,California,"Fremont, CA",Fremont,1008000.0,1/1/2018,1,2018,37.5482697,-121.9885719
30105,California,"Fremont, CA",Fremont,1121000.0,3/1/2018,3,2018,37.5482697,-121.9885719
30198,California,"Hayward, CA",Hayward,693000.0,7/1/2018,7,2018,37.6688205,-122.0807964
30274,California,"Fremont, CA",Fremont,1100000.0,10/1/2018,10,2018,37.5482697,-121.9885719
30275,California,"Hayward, CA",Hayward,640000.0,10/1/2018,10,2018,37.6688205,-122.0807964
30303,California,"Fremont, CA",Fremont,1024000.0,11/1/2018,11,2018,37.5482697,-121.9885719
